Epoch 187  val_rmse(scaled)=0.00839
Epoch 188  val_rmse(scaled)=0.00773
Epoch 189  val_rmse(scaled)=0.00769
Epoch 190  val_rmse(scaled)=0.00767
Epoch 191  val_rmse(scaled)=0.00763
Epoch 192  val_rmse(scaled)=0.00768
Epoch 193  val_rmse(scaled)=0.00781
Epoch 194  val_rmse(scaled)=0.00807
Epoch 195  val_rmse(scaled)=0.00866
Epoch 196  val_rmse(scaled)=0.00734
Epoch 197  val_rmse(scaled)=0.00793
Epoch 198  val_rmse(scaled)=0.00771
Epoch 199  val_rmse(scaled)=0.00830
Epoch 200  val_rmse(scaled)=0.00775
Epoch 201  val_rmse(scaled)=0.00781
Epoch 202  val_rmse(scaled)=0.00788
Epoch 203  val_rmse(scaled)=0.00792
Epoch 204  val_rmse(scaled)=0.00876
Epoch 205  val_rmse(scaled)=0.00763
Epoch 206  val_rmse(scaled)=0.00809
Epoch 207  val_rmse(scaled)=0.00827
Epoch 208  val_rmse(scaled)=0.00761
Epoch 209  val_rmse(scaled)=0.00767
Epoch 210  val_rmse(scaled)=0.00828
Epoch 211  val_rmse(scaled)=0.00925
Epoch 212  val_rmse(scaled)=0.00781
Epoch 213  val_rmse(scaled)=0.00735
Epoch 214  val_rmse(scaled)=0.00723
Epoch 215  val_rmse(scaled)=0.00728
Epoch 216  val_rmse(scaled)=0.00800
Epoch 217  val_rmse(scaled)=0.00760
Epoch 218  val_rmse(scaled)=0.00876
Epoch 219  val_rmse(scaled)=0.00779
Epoch 220  val_rmse(scaled)=0.00807
Epoch 221  val_rmse(scaled)=0.00869
Epoch 222  val_rmse(scaled)=0.00801
Epoch 223  val_rmse(scaled)=0.00978
Epoch 224  val_rmse(scaled)=0.00781
Epoch 225  val_rmse(scaled)=0.00915
Epoch 226  val_rmse(scaled)=0.00812
Epoch 227  val_rmse(scaled)=0.00745
Epoch 228  val_rmse(scaled)=0.00749
Epoch 229  val_rmse(scaled)=0.00791
Epoch 230  val_rmse(scaled)=0.00749
Epoch 231  val_rmse(scaled)=0.00838
Epoch 232  val_rmse(scaled)=0.00865
Epoch 233  val_rmse(scaled)=0.00803
Epoch 234  val_rmse(scaled)=0.00762
Epoch 235  val_rmse(scaled)=0.00738
Epoch 236  val_rmse(scaled)=0.00816
Epoch 237  val_rmse(scaled)=0.00740
Epoch 238  val_rmse(scaled)=0.00731
Epoch 239  val_rmse(scaled)=0.00896
Epoch 240  val_rmse(scaled)=0.00748
Epoch 241  val_rmse(scaled)=0.00798
Epoch 242  val_rmse(scaled)=0.00770
Epoch 243  val_rmse(scaled)=0.00771
Epoch 244  val_rmse(scaled)=0.00788
Epoch 245  val_rmse(scaled)=0.00779
Epoch 246  val_rmse(scaled)=0.00742
Epoch 247  val_rmse(scaled)=0.00747
Epoch 248  val_rmse(scaled)=0.00813
Epoch 249  val_rmse(scaled)=0.01172
Epoch 250  val_rmse(scaled)=0.00894
Epoch 251  val_rmse(scaled)=0.00765
Epoch 252  val_rmse(scaled)=0.00788
Epoch 253  val_rmse(scaled)=0.00727
Epoch 254  val_rmse(scaled)=0.00786
Epoch 255  val_rmse(scaled)=0.00800
Epoch 256  val_rmse(scaled)=0.00765
Epoch 257  val_rmse(scaled)=0.00965
Epoch 258  val_rmse(scaled)=0.00751
Epoch 259  val_rmse(scaled)=0.00720
Epoch 260  val_rmse(scaled)=0.00735
Epoch 261  val_rmse(scaled)=0.00792
Epoch 262  val_rmse(scaled)=0.00741
Epoch 263  val_rmse(scaled)=0.00776
Epoch 264  val_rmse(scaled)=0.00720
Epoch 265  val_rmse(scaled)=0.00745
Epoch 266  val_rmse(scaled)=0.00747
Epoch 267  val_rmse(scaled)=0.00833
Epoch 268  val_rmse(scaled)=0.00753
Epoch 269  val_rmse(scaled)=0.00816
Epoch 270  val_rmse(scaled)=0.00768
Epoch 271  val_rmse(scaled)=0.00755
Epoch 272  val_rmse(scaled)=0.00763
Epoch 273  val_rmse(scaled)=0.00775
Epoch 274  val_rmse(scaled)=0.00805
Epoch 275  val_rmse(scaled)=0.00717
Epoch 276  val_rmse(scaled)=0.00806
Epoch 277  val_rmse(scaled)=0.00711
Epoch 278  val_rmse(scaled)=0.00757
Epoch 279  val_rmse(scaled)=0.00753
Epoch 280  val_rmse(scaled)=0.00781
Epoch 281  val_rmse(scaled)=0.00801
Epoch 282  val_rmse(scaled)=0.00728
Epoch 283  val_rmse(scaled)=0.00726
Epoch 284  val_rmse(scaled)=0.00781
Epoch 285  val_rmse(scaled)=0.00776
Epoch 286  val_rmse(scaled)=0.00747
Epoch 287  val_rmse(scaled)=0.00725
Epoch 288  val_rmse(scaled)=0.00760
Epoch 289  val_rmse(scaled)=0.00714
Epoch 290  val_rmse(scaled)=0.00714
Epoch 291  val_rmse(scaled)=0.00751
Epoch 292  val_rmse(scaled)=0.00749
Epoch 293  val_rmse(scaled)=0.00740
Epoch 294  val_rmse(scaled)=0.00754
Epoch 295  val_rmse(scaled)=0.00735
Epoch 296  val_rmse(scaled)=0.00774
Epoch 297  val_rmse(scaled)=0.00745
Epoch 298  val_rmse(scaled)=0.00729
Epoch 299  val_rmse(scaled)=0.00904
Epoch 300  val_rmse(scaled)=0.00773
Epoch 301  val_rmse(scaled)=0.00749
Epoch 302  val_rmse(scaled)=0.00826
Epoch 303  val_rmse(scaled)=0.00756
Epoch 304  val_rmse(scaled)=0.00760
Epoch 305  val_rmse(scaled)=0.00725
Epoch 306  val_rmse(scaled)=0.00727
Epoch 307  val_rmse(scaled)=0.00724
Epoch 308  val_rmse(scaled)=0.00757
Epoch 309  val_rmse(scaled)=0.00850
Epoch 310  val_rmse(scaled)=0.00786
Epoch 311  val_rmse(scaled)=0.00715
Epoch 312  val_rmse(scaled)=0.00817
Epoch 313  val_rmse(scaled)=0.00758
Epoch 314  val_rmse(scaled)=0.00859
Epoch 315  val_rmse(scaled)=0.00715
Epoch 316  val_rmse(scaled)=0.00724
Epoch 317  val_rmse(scaled)=0.00809
Epoch 318  val_rmse(scaled)=0.00802
